ID,p_Action,p_Adventure,p_Animation,p_Biography,p_Comedy,p_Crime,p_Documentary,p_Drama,p_Family,p_Fantasy,p_Film-Noir,p_History,p_Horror,p_Music,p_Musical,p_Mystery,p_News,p_Romance,p_Sci-Fi,p_Short,p_Sport,p_Thriller,p_War,p_Western
1,0.10307974486116746,0.06466661412450835,0.02593128678050491,0.034915847629881494,0.29079049020645464,0.11488810116355341,0.03495246601407938,0.5817693262044866,0.050967683323983465,0.10259423719808072,0.025625547173459665,0.02182939457307736,0.08464447484750158,0.03181903771641871,0.03301024502944701,0.08598647651363922,0.001617682857556315,0.5781685935810055,0.051179208760698994,0.012016917803465539,0.024293251001209465,0.16512409114750592,0.02535094234336687,0.02653037486915825
4,0.10915240896100245,0.05479102116715388,0.029741527367227256,0.1551281507305118,0.2500490117586659,0.24982476487777744,0.057088431496068126,0.8001709086467046,0.05468602436645749,0.03436517329941932,0.018495477146131728,0.04042518055368852,0.0796517695386853,0.03864131754153713,0.026854842231040947,0.05431563204641534,0.00167477206070097,0.1003617140580363,0.02649307592122656,0.0119288848381699,0.03953804386806001,0.22637510812124173,0.048706935356883294,0.02315531962421437
5,0.10131331729508805,0.0312130720480238,0.012887846035302186,0.054909982497432834,0.13025263505379525,0.6147072884231246,0.025863293313810133,0.777708604191558,0.02080174495907055,0.03620169904801384,0.04534333214279706,0.02436941046092825,0.06924588098254365,0.02327000439386093,0.020686677132794838,0.332514534425591,0.001602825782629025,0.17791288485859258,0.04556837015740811,0.00847916204550991,0.023797185768995862,0.577819181986112,0.02244558925800389,0.01850097060814504
6,0.0920708687213118,0.08258136868216728,0.019668697576679887,0.0554446798726588,0.16545175006799787,0.07998182300360149,0.037625484555363055,0.6898877040264444,0.04830836192245541,0.05164172473891103,0.03173164710453097,0.040942113529913185,0.10489406196494504,0.026423836332809366,0.027999464573843277,0.10687490736387673,0.0015370705841933102,0.166858402356525,0.08740754198926746,0.008706422214883816,0.030307860915666583,0.3101901445514891,0.06524804625280278,0.02245622255633281
7,0.07521586083266465,0.09150242345231532,0.03199861513963958,0.02718053918745797,0.20520974729890995,0.14058596975987292,0.02938857763609371,0.35460717212852266,0.0626163104233646,0.1297945676655278,0.038690482589966727,0.01829255718432515,0.5023759635929878,0.02552286211246181,0.02564083595861643,0.10242322489779365,0.0015553467850152251,0.12768613156468886,0.31555781586093357,0.011419212812113319,0.015551846049806561,0.33345331727263255,0.01921380639733998,0.020724812713039525
9,0.1321400492517038,0.07639982506044962,0.028420885525601007,0.07855007047949225,0.34363041040474984,0.13361792942102896,0.06756370448728369,0.6419842330219663,0.06570164927136496,0.06748816796635519,0.018894913685504985,0.07434660816319943,0.056461074118599616,0.04274850253813618,0.031090100615847563,0.06694904087563057,0.0016225929112715703,0.13055656854886766,0.05114315087426848,0.01334384693937335,0.03612215282916065,0.19886321139370605,0.03432805205614034,0.028483409035017986
11,0.10500664670411745,0.08763631126873753,0.03851754771900583,0.11421655261876665,0.25992172082541376,0.1439071533010302,0.38240556350966265,0.352903507888777,0.07881616451939727,0.05791608859991635,0.013885615913262685,0.052563096244270774,0.037738866129106347,0.13781933384568834,0.04660379494716288,0.028040344258193718,0.00190711075523672,0.1566698716118997,0.05911235487820716,0.01116420200095794,0.044680988938979274,0.09093956356837998,0.02611650482960204,0.01955517783866656
13,0.18467278346727461,0.03669819723986378,0.024660977125701984,0.023637652049332644,0.5488936063608374,0.44894572429298596,0.018471169150593776,0.6630099464159265,0.06632862166720153,0.04855348972836843,0.025735244850270594,0.019241235221250534,0.05294914769796576,0.030589964595187195,0.027540481677188457,0.05460198050151499,0.0015491229888563102,0.2337241324749097,0.04754175456151542,0.01113710414579825,0.02351233763270185,0.36088190830405154,0.020228753598278408,0.022197877948378922
16,0.0413149532532668,0.06444836885621436,0.01884686547102876,0.03998307868412217,0.3950357748232697,0.074831691700152,0.03875985713443321,0.751546873170978,0.048327070870475025,0.05749964717295346,0.019743507761767806,0.03941023111131341,0.12632897726680825,0.027282174366314763,0.026169155752495107,0.09757761131566425,0.001568234887941645,0.46976641377888206,0.05254396797909036,0.009872678601322656,0.021717074222666825,0.13571123500279575,0.02976806122361051,0.01965898598933633
21,0.07919638228042755,0.12216417310560189,0.03909557173674662,0.038246269494397314,0.72484193304255,0.10218507040907061,0.0532712752166396,0.4539380289249334,0.1189057901669106,0.08179183435902906,0.016669220469613902,0.027880488840995754,0.04507036331277149,0.0448768601969425,0.0370087672692123,0.03712005895310469,0.001669734751212645,0.375704145445058,0.05069574284254122,0.01120633286855594,0.025964924227141153,0.0639436819592644,0.02553681126829191,0.023829311584978512
22,0.08751588090434875,0.203029587168185,0.0484150456352123,0.027842160982641726,0.39212463431899697,0.053339926083963596,0.01898460580931114,0.5195997219735136,0.11832104619364296,0.33597192205291077,0.012819735385131086,0.028671060554338833,0.20004000771785846,0.029363000802452712,0.03769636356034795,0.054031112246052684,0.001499125587642175,0.3517683094562014,0.08770538156427019,0.0103665857745364,0.018399022792469223,0.12907188350508528,0.02814644737420078,0.02046520212082883
24,0.23910751682127754,0.04178728539505076,0.019710532494108965,0.019102550177540083,0.3732354124208662,0.5382008226356162,0.01284918107580146,0.4393618619450156,0.031620144267221664,0.043053352717892845,0.034506247968092436,0.019857249473397565,0.10760834758534102,0.019645262590378784,0.030679034530649456,0.31633038358759175,0.001509426693828135,0.3765838854172844,0.06546844197807912,0.00846336186215297,0.014785044937848216,0.7291221399858172,0.015151022174031767,0.015312677981554692
25,0.1194415796281548,0.13434766707077792,0.022281454266684937,0.04420768728992398,0.42023435714171864,0.18405730929423397,0.025440619921879543,0.5282710642552909,0.06257064413796803,0.0521001054028881,0.018504371033929934,0.02318332053443223,0.07086580745417553,0.03568374970356046,0.02581758109593721,0.05147883397039535,0.0015253388571926253,0.16960104603714912,0.046893829363130385,0.010880135448601225,0.03156113808497375,0.1818268892059508,0.027065261895749503,0.13452001029237692
32,0.0563492200284937,0.05192629352340142,0.027888527517394963,0.037708684373121706,0.8127542224846,0.09656580720152833,0.01416017360451427,0.5806220186502222,0.09247679761198227,0.04919056419568861,0.018717501394340967,0.02171287772437687,0.03763674648220465,0.05708680890313329,0.07593363485905347,0.04885700117915415,0.001483185577880695,0.5111233547072448,0.0338349959851605,0.012686870966972501,0.034831050493985036,0.08886901592908769,0.03574904589314282,0.021979963059254787
38,0.0546576726840423,0.056111015811019266,0.018874230337609592,0.03355058470745288,0.5645769858627334,0.06612851550848217,0.022519207806732312,0.6974603586892723,0.06635108260023254,0.041799863152477544,0.015981767848672647,0.025700949380088454,0.10516538342467499,0.03312468991140202,0.03682903089196754,0.04374111273326575,0.00148591710499578,0.4626615634745576,0.031207279153594142,0.009232528682803661,0.029921850737496956,0.10897558343624322,0.02378218198791868,0.01862868274630016
40,0.23236643524866357,0.11242580398634405,0.02004148021345164,0.035696288657097175,0.4139038386071705,0.4916270416954237,0.023056647297956007,0.6750786345455368,0.05411958202109205,0.0452716114263352,0.03611813951553387,0.029436951986086764,0.04154208224761498,0.021890078858007145,0.03133771321522355,0.07028799967590155,0.0015306106551050752,0.19941121526219185,0.042204790025336135,0.01189083449605038,0.021728134186871976,0.250104454689149,0.05174892209500413,0.030255222476669598
54,0.07814212017047176,0.11367910860699973,0.06183312926931203,0.0304194146466921,0.7788590677767054,0.08662005432158562,0.0288990891546372,0.1703429779093646,0.21547524051079042,0.08549020030297656,0.015193427102201722,0.019312458680071518,0.18749300838090277,0.06308611628452111,0.046725321914632134,0.09060924349854779,0.0015403811984999402,0.2528278119458607,0.09684893051027693,0.010177346269188765,0.024326734355891083,0.09921000970066335,0.024513431216590224,0.024493164464181094
55,0.060073040591901286,0.10534976901855253,0.02700363494044567,0.026148582119819373,0.2968322821496021,0.09594323442838826,0.025430104970031505,0.69233292309069,0.10049539371852584,0.10704183081486987,0.015483066486541186,0.01901588132259522,0.20511818862980588,0.03539040175891489,0.026759235216328697,0.09362125480430694,0.00156053551821214,0.18089606512090103,0.04089827348982891,0.01139270613352713,0.024989310127564886,0.21043405240275914,0.026603036332812836,0.01782157556837573
60,0.10395301573203247,0.27868129798235614,0.056161757989365735,0.027490519366430127,0.5932643385204376,0.06924078608560687,0.03620246631316443,0.325080870942267,0.28782583401959166,0.15009710991105707,0.01097274690775454,0.023705727194662143,0.12629094747788705,0.028793715393987222,0.027867646067218886,0.05143314466818091,0.0015666692038903952,0.23659795205927858,0.10701410813334547,0.012252908640840275,0.028186621852171134,0.13942916063948607,0.021723054733414127,0.022588780416755806
64,0.028517414442703757,0.030035260824283427,0.018784639716386962,0.03596952100012632,0.639458870017608,0.07608462720344114,0.033740463585081724,0.49570998157269414,0.04295847653435971,0.0468163931206256,0.02328902767884432,0.020610570803293496,0.07679536978532946,0.03975231757249094,0.04158088326329159,0.0815342926399967,0.0015663990673407502,0.5543883438186903,0.0337739165163993,0.009335965699146041,0.01626235303438407,0.1162640145020915,0.018669526199397955,0.017838684958524587
72,0.04588425912581244,0.054062654619231335,0.023075609478837786,0.10149964073279644,0.154740606702424,0.10874024234809866,0.25949653168477077,0.47357022816045735,0.062358753924097385,0.04241101527413026,0.018245980011905766,0.04107203740079667,0.07487658388708024,0.049514396025665194,0.027739761895036037,0.05372890433851624,0.0017119273508781402,0.1558420414119533,0.04035011123862199,0.00955333475371313,0.04838000045691686,0.09948174356757838,0.024006063134439384,0.028871056883170626
74,0.07140573443304994,0.05578249449811316,0.01800919322321063,0.023060605880868175,0.47670998250803226,0.16857486012501474,0.014706963275712635,0.6790381356788631,0.0490958119140794,0.04356356049230871,0.02365366997979352,0.014186414099812729,0.13201579259916485,0.03151712864735122,0.03507292643659684,0.09421096950415778,0.001477905740477425,0.3075776499908601,0.03456045629495579,0.008992689065383535,0.02708204327079082,0.3077911326995817,0.01772963291928502,0.015781500842438734
77,0.1824655755275687,0.08142308538168087,0.022401399931433898,0.038119229366062206,0.3110638091083382,0.28553318645392145,0.02223392891880194,0.6701112372939478,0.07769469428345921,0.09836775873786009,0.017843504332251674,0.024935459487641434,0.16705198857408365,0.029245692690388604,0.02192605143819406,0.11754827062733572,0.001510742840598395,0.10973353580779088,0.06284797954861832,0.009526399328419345,0.025522615708906467,0.46522459892101203,0.024925701670217904,0.020069001714838507
78,0.07544395012096769,0.05510464788618941,0.02114940050525435,0.022908405326612327,0.5135219737293377,0.20986621581020753,0.018381019671616317,0.7190726186723111,0.08818474617540858,0.08367251488808314,0.024205566050574133,0.01388137047772809,0.03409975907773873,0.04172277229936258,0.028096170466390034,0.054723855690625,0.0015270967130440053,0.31537526100269375,0.030189471954930523,0.00899090951386513,0.03053896446768927,0.15013565798924605,0.013865120436249961,0.014366402681222482
89,0.24540271508802147,0.4202415238253945,0.04434778405778898,0.05103768172558137,0.28131594030658136,0.06910793904298966,0.02785729989392518,0.6050505935685633,0.09988626217189778,0.22885546482713906,0.0189715514013242,0.07701526173463046,0.02607088737204548,0.030513239417067822,0.07292762860315694,0.042576908968912426,0.0016559501778612,0.6395804976089485,0.056978733075681215,0.011733130724908312,0.026716845968322418,0.09624049821723477,0.043081423207267225,0.036339933236154254
94,0.04651924936973288,0.07529820585483421,0.018115167913305905,0.04832727579681749,0.3540415373107607,0.03468703134074472,0.015706224620929875,0.7488226179865033,0.036425503712839355,0.07056484433530993,0.02296240742976835,0.03542378194220577,0.08690263937975329,0.027898524350887337,0.04887797798560582,0.08632775897754977,0.0014528680465273102,0.8313185750977085,0.07022613337405384,0.009515221317936386,0.020157047639860905,0.11001694799039086,0.028270289699766006,0.01835810313474919
